Road_Type,Weather,Visibility_km,Road_Surface,Light_Condition,Vehicle_Speed,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Experience,Alcohol_Consumption,Seat_Belt,Time_of_Day,Day_of_Week,Area_Type,Road_Curvature,Junction_Type,Traffic_Signal,Pedestrian_Crossing,Rain,Fog,Temperature_C,Accident_Occurred
Rural Road,Foggy,5.8,Dry,Daylight,41.5,Low,Bus,41,0,Yes,Yes,Morning,Wednesday,Rural,Straight,T-Junction,Yes,No,No,Yes,12.8,0
Residential,Windy,9.5,Wet,Dark - Unlit,152.7,High,Motorcycle,36,24,No,No,Night,Tuesday,Urban,Straight,Crossroad,Yes,Yes,No,No,39.9,1
Residential,Rainy,8.6,Dry,Dark - Unlit,96.0,Medium,Bus,41,12,No,No,Evening,Wednesday,Rural,Straight,T-Junction,Yes,No,No,No,27.8,0
Highway,Clear,2.4,Wet,Daylight,28.9,Medium,Truck,43,9,No,Yes,Evening,Friday,Urban,Slight Curve,No Junction,Yes,No,No,No,38.8,0
Rural Road,Clear,2.4,Dry,Dusk/Dawn,117.0,Medium,Bus,42,17,No,Yes,Afternoon,Friday,Rural,Straight,Crossroad,No,No,No,No,26.3,0
Highway,Windy,2.2,Dry,Daylight,28.7,Low,Truck,62,35,No,Yes,Morning,Tuesday,Rural,Straight,Roundabout,No,Yes,No,No,20.9,0
Rural Road,Clear,9.2,Dry,Dark - Unlit,123.4,Medium,Truck,61,21,No,Yes,Evening,Thursday,Rural,Slight Curve,No Junction,Yes,No,No,No,12.9,0
Rural Road,Clear,8.6,Dry,Daylight,125.0,Medium,Car,46,5,No,Yes,Evening,Tuesday,Urban,Straight,T-Junction,No,No,No,No,23.7,0
Highway,Rainy,7.8,Dry,Dark - Lit,111.2,Medium,Motorcycle,27,26,No,Yes,Morning,Friday,Rural,Slight Curve,T-Junction,No,Yes,No,No,33.3,0
Highway,Rainy,4.0,Dry,Dusk/Dawn,122.5,High,Motorcycle,68,7,No,Yes,Afternoon,Sunday,Urban,Slight Curve,No Junction,Yes,Yes,No,Yes,13.7,0
Rural Road,Rainy,5.1,Dry,Daylight,32.3,High,Car,28,23,No,Yes,Morning,Tuesday,Urban,Sharp Curve,No Junction,No,No,No,No,25.1,0
Urban Road,Clear,4.8,Wet,Dark - Unlit,121.7,High,Car,41,19,No,Yes,Night,Friday,Rural,Straight,Crossroad,Yes,Yes,Yes,Yes,14.4,1
Residential,Clear,2.7,Dry,Dark - Unlit,39.1,Medium,Motorcycle,41,21,No,No,Afternoon,Thursday,Urban,Slight Curve,Roundabout,No,Yes,No,Yes,-4.7,1
Highway,Windy,5.1,Wet,Dusk/Dawn,67.5,Medium,Car,29,8,No,Yes,Evening,Friday,Rural,Straight,T-Junction,Yes,No,Yes,No,20.9,0
Residential,Clear,0.5,Dry,Daylight,152.0,Low,Car,24,39,No,Yes,Evening,Saturday,Urban,Straight,T-Junction,No,Yes,Yes,No,-6.4,1
Urban Road,Foggy,1.5,Muddy,Dark - Unlit,90.4,Medium,Truck,57,38,Yes,Yes,Night,Wednesday,Rural,Straight,Crossroad,Yes,Yes,No,No,22.8,1
Urban Road,Foggy,8.9,Muddy,Dusk/Dawn,155.4,Low,Car,34,18,No,Yes,Morning,Monday,Rural,Straight,Crossroad,Yes,No,No,No,36.2,1
Urban Road,Rainy,7.6,Dry,Dark - Lit,32.4,Medium,Car,52,0,No,Yes,Evening,Sunday,Urban,Straight,Roundabout,No,No,Yes,No,-1.4,0
Highway,Clear,4.3,Wet,Dusk/Dawn,86.9,Low,Bus,23,10,No,Yes,Morning,Thursday,Rural,Slight Curve,Roundabout,No,Yes,No,No,22.8,0
Urban Road,Clear,5.3,Dry,Daylight,28.7,High,Motorcycle,29,9,Yes,Yes,Morning,Monday,Rural,Straight,Roundabout,No,Yes,No,Yes,-6.8,0
Highway,Rainy,3.8,Muddy,Daylight,108.2,Medium,Bus,32,0,No,Yes,Morning,Thursday,Urban,Straight,T-Junction,Yes,No,Yes,No,4.9,1
Urban Road,Windy,7.5,Dry,Dark - Unlit,31.0,Low,Car,49,26,No,Yes,Evening,Thursday,Rural,Straight,Crossroad,Yes,No,No,No,-3.1,0
Residential,Windy,7.9,Dry,Dark - Lit,44.6,High,Car,40,16,No,No,Afternoon,Thursday,Rural,Sharp Curve,T-Junction,Yes,Yes,Yes,No,-8.6,1
Residential,Clear,7.7,Dry,Daylight,56.2,High,Bus,24,16,No,Yes,Evening,Saturday,Rural,Straight,T-Junction,Yes,Yes,Yes,No,36.5,0
Rural Road,Clear,7.3,Dry,Dark - Unlit,124.8,Medium,Car,55,38,Yes,Yes,Afternoon,Thursday,Rural,Straight,Crossroad,No,No,No,No,12.5,1
Residential,Windy,2.2,Dry,Dusk/Dawn,43.0,Low,Truck,48,1,No,No,Afternoon,Friday,Rural,Straight,Roundabout,No,Yes,No,Yes,-1.7,0
Rural Road,Foggy,3.5,Wet,Dusk/Dawn,138.5,Low,Bus,46,22,Yes,Yes,Afternoon,Wednesday,Rural,Slight Curve,Crossroad,No,No,No,No,24.9,1
Residential,Windy,4.8,Dry,Daylight,38.5,Low,Bus,61,9,No,Yes,Evening,Friday,Urban,Slight Curve,Crossroad,No,No,Yes,No,39.6,0
Highway,Clear,3.4,Dry,Dark - Lit,24.9,High,Motorcycle,45,29,No,Yes,Night,Friday,Rural,Sharp Curve,T-Junction,Yes,No,No,No,17.6,0
Residential,Rainy,7.6,Dry,Dark - Unlit,75.3,Low,Bus,29,34,No,Yes,Night,Saturday,Urban,Sharp Curve,Crossroad,Yes,No,Yes,No,35.6,0
Rural Road,Foggy,3.4,Dry,Daylight,157.1,High,Truck,44,24,No,Yes,Afternoon,Sunday,Urban,Sharp Curve,T-Junction,Yes,No,Yes,No,36.3,1
Rural Road,Foggy,1.6,Dry,Dark - Unlit,35.4,Low,Car,21,16,Yes,Yes,Evening,Wednesday,Rural,Straight,Roundabout,No,No,No,No,31.3,1
Urban Road,Clear,4.1,Icy,Dusk/Dawn,34.2,High,Bus,38,18,No,Yes,Night,Sunday,Rural,Slight Curve,Roundabout,Yes,No,No,No,5.1,1
Highway,Clear,9.8,Dry,Dark - Unlit,125.2,Medium,Bus,26,17,No,Yes,Night,Saturday,Rural,Straight,No Junction,No,Yes,No,No,15.7,0
Residential,Rainy,2.4,Wet,Dusk/Dawn,63.7,High,Motorcycle,66,17,No,No,Evening,Thursday,Rural,Straight,Crossroad,Yes,Yes,No,No,-2.0,0
Urban Road,Clear,6.2,Dry,Dark - Lit,120.4,Low,Motorcycle,51,34,No,Yes,Morning,Wednesday,Urban,Straight,Roundabout,Yes,No,No,No,40.6,0
Residential,Rainy,4.4,Dry,Dark - Lit,48.0,High,Car,54,9,No,Yes,Night,Monday,Urban,Straight,T-Junction,No,No,No,No,26.2,1
Residential,Windy,0.9,Wet,Dusk/Dawn,84.4,Low,Bus,38,22,Yes,No,Night,Wednesday,Urban,Straight,T-Junction,Yes,No,Yes,No,-9.7,1
Urban Road,Clear,5.0,Dry,Daylight,57.1,Medium,Truck,40,21,No,Yes,Evening,Friday,Rural,Straight,T-Junction,No,No,No,No,34.0,0
Urban Road,Snowy,7.1,Dry,Dusk/Dawn,83.2,High,Car,41,8,No,No,Evening,Thursday,Urban,Straight,Roundabout,Yes,No,No,No,-9.2,0
Urban Road,Clear,5.2,Wet,Dark - Unlit,127.7,Medium,Truck,27,31,No,No,Evening,Friday,Rural,Straight,Crossroad,Yes,Yes,No,No,23.7,1
Urban Road,Foggy,8.7,Dry,Dark - Unlit,126.7,High,Bus,55,25,No,No,Night,Monday,Rural,Straight,Crossroad,No,No,No,No,14.2,1
Urban Road,Windy,3.0,Dry,Dark - Unlit,92.2,High,Car,23,28,No,Yes,Evening,Saturday,Rural,Straight,Roundabout,No,Yes,Yes,No,1.5,1
Residential,Clear,1.0,Wet,Daylight,150.0,Medium,Motorcycle,38,18,Yes,Yes,Afternoon,Saturday,Rural,Straight,Roundabout,No,No,No,Yes,31.5,1
Urban Road,Clear,9.4,Wet,Dark - Lit,56.9,Medium,Motorcycle,54,28,No,Yes,Afternoon,Thursday,Urban,Straight,No Junction,No,No,No,Yes,44.9,0
Highway,Clear,3.9,Dry,Dark - Lit,53.6,High,Truck,46,34,No,Yes,Evening,Tuesday,Rural,Sharp Curve,Crossroad,No,No,Yes,No,28.7,0
Rural Road,Clear,5.8,Dry,Dark - Unlit,105.9,High,Car,57,11,No,Yes,Night,Saturday,Urban,Straight,No Junction,Yes,No,Yes,No,34.4,0
Urban Road,Foggy,8.0,Dry,Daylight,107.0,High,Truck,38,7,No,Yes,Night,Friday,Rural,Straight,No Junction,No,Yes,Yes,No,40.2,0
Urban Road,Windy,3.4,Dry,Dark - Unlit,26.5,Medium,Motorcycle,39,24,Yes,Yes,Night,Friday,Rural,Straight,No Junction,No,Yes,No,No,14.3,1
Residential,Clear,7.2,Wet,Dark - Lit,105.1,Low,Bus,52,26,Yes,Yes,Evening,Wednesday,Rural,Slight Curve,No Junction,No,Yes,No,No,25.1,1
Urban Road,Clear,1.5,Icy,Dusk/Dawn,72.4,Medium,Motorcycle,63,5,No,Yes,Morning,Thursday,Rural,Straight,Crossroad,No,No,Yes,No,19.3,1
Urban Road,Clear,3.1,Icy,Dark - Unlit,124.6,High,Bus,22,12,No,Yes,Afternoon,Saturday,Urban,Straight,No Junction,No,Yes,No,No,7.4,1
Urban Road,Foggy,1.6,Dry,Dark - Unlit,133.1,High,Truck,32,10,No,Yes,Evening,Sunday,Urban,Slight Curve,Crossroad,No,No,Yes,No,-6.5,1
Residential,Clear,8.2,Dry,Dark - Unlit,97.3,Medium,Truck,58,37,No,Yes,Morning,Saturday,Urban,Straight,Roundabout,Yes,No,No,No,37.2,0
Urban Road,Rainy,2.4,Wet,Dark - Lit,20.2,High,Truck,64,5,No,Yes,Morning,Saturday,Urban,Straight,Crossroad,No,No,No,No,-4.4,0
Rural Road,Rainy,7.2,Dry,Daylight,109.1,High,Bus,36,4,No,Yes,Evening,Sunday,Rural,Slight Curve,Roundabout,No,No,Yes,No,20.9,0
Residential,Rainy,9.4,Wet,Dusk/Dawn,124.8,High,Truck,33,6,No,Yes,Morning,Saturday,Urban,Sharp Curve,Crossroad,Yes,No,No,No,-8.3,1
Rural Road,Clear,5.4,Wet,Dusk/Dawn,54.9,High,Truck,57,18,No,Yes,Morning,Sunday,Rural,Straight,Crossroad,No,No,No,No,19.5,0
Residential,Foggy,5.5,Muddy,Dusk/Dawn,85.1,High,Car,64,5,No,Yes,Morning,Friday,Urban,Straight,Crossroad,Yes,No,Yes,No,-6.9,0
Urban Road,Clear,4.7,Dry,Dark - Unlit,155.2,Low,Bus,60,24,No,No,Afternoon,Monday,Urban,Sharp Curve,T-Junction,Yes,Yes,No,No,28.9,1
Rural Road,Clear,3.4,Dry,Dark - Lit,61.7,Medium,Truck,40,8,No,Yes,Morning,Thursday,Urban,Straight,Crossroad,No,Yes,No,Yes,22.6,0
Residential,Windy,4.9,Icy,Dusk/Dawn,51.2,Medium,Truck,21,19,No,No,Morning,Thursday,Urban,Straight,Roundabout,No,Yes,No,No,29.5,1
Highway,Foggy,6.1,Wet,Dark - Unlit,49.5,Medium,Bus,38,24,No,No,Evening,Sunday,Urban,Straight,Crossroad,Yes,Yes,No,No,21.1,1
Urban Road,Clear,9.9,Icy,Daylight,98.2,Low,Bus,41,7,Yes,Yes,Evening,Wednesday,Urban,Straight,No Junction,No,Yes,Yes,No,31.0,1
Residential,Clear,9.4,Dry,Dark - Unlit,153.0,Low,Motorcycle,59,36,No,Yes,Afternoon,Friday,Rural,Sharp Curve,Roundabout,No,No,No,Yes,10.2,1
Highway,Clear,8.6,Wet,Dusk/Dawn,105.2,Medium,Motorcycle,72,37,No,No,Evening,Friday,Urban,Slight Curve,No Junction,No,No,No,No,8.0,0
Residential,Clear,8.9,Wet,Dusk/Dawn,62.5,Medium,Car,43,1,No,Yes,Afternoon,Tuesday,Rural,Straight,Roundabout,No,No,No,No,17.2,0
Highway,Clear,4.8,Dry,Daylight,109.4,Medium,Truck,59,21,No,No,Morning,Tuesday,Urban,Straight,No Junction,No,Yes,No,No,17.8,0
Urban Road,Clear,6.6,Dry,Dark - Lit,107.5,High,Bus,19,35,No,Yes,Morning,Thursday,Rural,Straight,Roundabout,Yes,Yes,No,Yes,8.6,1
Rural Road,Rainy,9.0,Wet,Daylight,103.6,Low,Truck,57,3,No,No,Morning,Friday,Rural,Slight Curve,No Junction,No,Yes,Yes,No,17.3,1
Highway,Foggy,4.1,Dry,Daylight,42.3,Low,Motorcycle,25,0,No,No,Evening,Saturday,Urban,Straight,No Junction,Yes,No,No,No,1.7,0
Residential,Rainy,9.6,Dry,Dusk/Dawn,108.8,High,Motorcycle,26,32,No,No,Afternoon,Sunday,Rural,Slight Curve,Roundabout,Yes,Yes,No,No,25.8,0
Urban Road,Foggy,4.3,Wet,Dusk/Dawn,80.2,Low,Motorcycle,19,23,No,Yes,Evening,Wednesday,Urban,Straight,Roundabout,No,No,No,No,43.4,0
Highway,Clear,6.1,Dry,Dark - Lit,22.6,Medium,Bus,31,4,No,Yes,Evening,Friday,Urban,Straight,Roundabout,No,Yes,No,No,23.3,0
Residential,Windy,7.2,Icy,Dusk/Dawn,95.6,Low,Truck,37,34,No,No,Afternoon,Wednesday,Rural,Sharp Curve,No Junction,Yes,No,Yes,No,16.1,1
Residential,Snowy,9.5,Dry,Daylight,158.5,High,Bus,19,25,No,No,Afternoon,Tuesday,Rural,Straight,Crossroad,No,No,No,No,39.8,1
Residential,Snowy,2.6,Dry,Daylight,69.0,Medium,Truck,21,25,No,Yes,Night,Saturday,Urban,Straight,Roundabout,No,Yes,No,No,26.2,1
Highway,Snowy,7.5,Muddy,Dark - Lit,155.2,Low,Car,52,4,No,Yes,Night,Monday,Rural,Slight Curve,Roundabout,No,No,No,No,6.3,1
Highway,Windy,5.3,Muddy,Dusk/Dawn,33.5,Medium,Motorcycle,72,17,No,Yes,Night,Saturday,Urban,Straight,Crossroad,No,Yes,No,No,24.1,0
Highway,Rainy,2.8,Dry,Dusk/Dawn,122.5,Low,Motorcycle,31,24,No,Yes,Afternoon,Friday,Rural,Slight Curve,No Junction,No,No,Yes,No,31.0,1
Rural Road,Clear,7.8,Wet,Daylight,36.0,Medium,Motorcycle,38,39,No,Yes,Morning,Saturday,Rural,Slight Curve,T-Junction,Yes,No,No,No,32.4,0
Highway,Rainy,5.6,Dry,Daylight,58.3,High,Motorcycle,65,37,No,Yes,Evening,Saturday,Urban,Slight Curve,T-Junction,No,Yes,No,No,-9.6,0
Highway,Foggy,6.7,Dry,Dusk/Dawn,99.9,High,Bus,32,20,Yes,No,Evening,Tuesday,Rural,Straight,Crossroad,Yes,Yes,No,No,32.1,1
Highway,Foggy,3.4,Dry,Dark - Unlit,103.0,Low,Motorcycle,56,23,No,Yes,Night,Monday,Urban,Straight,Crossroad,Yes,No,No,Yes,34.0,1
Rural Road,Rainy,4.9,Dry,Daylight,128.5,Low,Truck,67,27,No,Yes,Morning,Monday,Urban,Straight,T-Junction,Yes,Yes,No,No,-0.4,0
Highway,Clear,6.3,Icy,Daylight,106.1,Medium,Truck,37,3,No,No,Afternoon,Tuesday,Urban,Straight,T-Junction,No,Yes,Yes,No,36.8,1
Residential,Clear,4.2,Wet,Daylight,103.1,High,Motorcycle,23,7,No,Yes,Evening,Tuesday,Urban,Sharp Curve,No Junction,No,Yes,No,No,29.2,1
Highway,Windy,2.1,Muddy,Dark - Lit,147.7,Medium,Motorcycle,45,32,No,Yes,Morning,Tuesday,Urban,Straight,T-Junction,Yes,Yes,No,No,24.1,1
Residential,Rainy,9.6,Wet,Dusk/Dawn,83.3,High,Bus,70,2,No,No,Evening,Wednesday,Rural,Straight,No Junction,Yes,Yes,Yes,Yes,32.3,0
Residential,Rainy,5.2,Dry,Dusk/Dawn,51.5,Medium,Bus,65,19,No,Yes,Evening,Thursday,Urban,Sharp Curve,Roundabout,No,Yes,No,No,3.9,0
Residential,Clear,7.4,Wet,Dusk/Dawn,42.7,Medium,Truck,60,34,No,Yes,Evening,Sunday,Urban,Straight,Crossroad,Yes,Yes,No,No,-1.5,0
Rural Road,Clear,4.2,Muddy,Daylight,76.0,Medium,Truck,19,38,No,No,Afternoon,Thursday,Rural,Straight,Roundabout,No,No,No,No,-6.2,0
Rural Road,Windy,3.7,Wet,Dusk/Dawn,119.8,Low,Car,45,6,No,No,Afternoon,Thursday,Rural,Straight,Crossroad,Yes,No,No,No,13.8,0
Rural Road,Foggy,4.2,Wet,Dusk/Dawn,26.0,High,Truck,72,26,No,No,Evening,Saturday,Rural,Slight Curve,Roundabout,No,Yes,No,No,17.8,1
Highway,Snowy,4.2,Muddy,Dusk/Dawn,38.1,Low,Car,51,4,No,Yes,Afternoon,Wednesday,Urban,Straight,No Junction,No,No,No,No,-4.3,0
Residential,Rainy,5.5,Dry,Dark - Lit,34.9,Low,Motorcycle,31,36,No,Yes,Morning,Tuesday,Rural,Sharp Curve,Crossroad,No,No,No,No,11.9,0
Rural Road,Rainy,5.5,Wet,Dark - Lit,101.9,Medium,Motorcycle,26,0,No,Yes,Morning,Thursday,Rural,Straight,Roundabout,Yes,Yes,No,No,4.4,1
Rural Road,Clear,5.1,Icy,Daylight,54.0,High,Motorcycle,40,21,No,Yes,Evening,Wednesday,Urban,Straight,Crossroad,Yes,Yes,No,No,38.7,0
Highway,Foggy,1.5,Muddy,Dusk/Dawn,43.3,Low,Truck,61,6,No,Yes,Night,Wednesday,Urban,Straight,No Junction,Yes,No,No,No,21.5,0
Rural Road,Clear,5.1,Dry,Daylight,103.0,Medium,Truck,52,7,Yes,Yes,Morning,Tuesday,Rural,Straight,T-Junction,No,No,No,No,-0.4,1
Highway,Clear,1.9,Dry,Daylight,126.6,High,Motorcycle,39,29,No,Yes,Afternoon,Monday,Rural,Straight,Roundabout,Yes,No,No,Yes,16.7,1
